instance; execution; seed; number_of_tasks; cycle_time; iterations; restarts; solution; duration;
MERTENS; 1; 1529274392; 7; 15; 800; 1; 2; 0.890753;
MERTENS; 1; 1529274393; 7; 15; 800; 2; 2; 1.79707;
MERTENS; 1; 1529274395; 7; 15; 800; 3; 2; 3.00032;
MERTENS; 1; 1529274398; 7; 15; 800; 4; 2; 3.15662;
MERTENS; 1; 1529274401; 7; 15; 800; 5; 2; 4.37544;
MERTENS; 1; 1529274406; 7; 15; 900; 1; 2; 0.859471;
MERTENS; 1; 1529274407; 7; 15; 900; 2; 2; 1.81272;
MERTENS; 1; 1529274408; 7; 15; 900; 3; 2; 2.78155;
MERTENS; 1; 1529274411; 7; 15; 900; 4; 2; 4.04731;
MERTENS; 1; 1529274415; 7; 15; 900; 5; 2; 5.17243;
MERTENS; 1; 1529274420; 7; 15; 1000; 1; 2; 0.937633;
MERTENS; 1; 1529274421; 7; 15; 1000; 2; 2; 2.34397;
MERTENS; 1; 1529274424; 7; 15; 1000; 3; 2; 3.00032;
MERTENS; 1; 1529274427; 7; 15; 1000; 4; 2; 3.81294;
MERTENS; 1; 1529274430; 7; 15; 1000; 5; 2; 4.95363;
MERTENS; 1; 1529274435; 7; 18; 100; 1; 2; 0.093787;
MERTENS; 1; 1529274436; 7; 18; 100; 2; 2; 0.203178;
MERTENS; 1; 1529274436; 7; 18; 100; 3; 2; 0.343818;
MERTENS; 1; 1529274436; 7; 18; 100; 4; 2; 0.453203;
MERTENS; 1; 1529274437; 7; 18; 100; 5; 2; 0.484397;
MERTENS; 1; 1529274437; 7; 18; 200; 1; 2; 0.17192;
MERTENS; 1; 1529274437; 7; 18; 200; 2; 2; 0.437569;
MERTENS; 1; 1529274438; 7; 18; 200; 3; 2; 0.687568;
MERTENS; 1; 1529274438; 7; 18; 200; 4; 2; 0.922005;
MERTENS; 1; 1529274439; 7; 18; 200; 5; 2; 0.984481;
MERTENS; 1; 1529274440; 7; 18; 300; 1; 2; 0.40632;
MERTENS; 1; 1529274441; 7; 18; 300; 2; 2; 0.609413;
MERTENS; 1; 1529274441; 7; 18; 300; 3; 2; 0.890721;
MERTENS; 1; 1529274442; 7; 18; 300; 4; 2; 1.29704;
MERTENS; 1; 1529274444; 7; 18; 300; 5; 2; 1.34392;
MERTENS; 1; 1529274445; 7; 18; 400; 1; 2; 0.3907;
MERTENS; 1; 1529274445; 7; 18; 400; 2; 2; 0.781327;
MERTENS; 1; 1529274446; 7; 18; 400; 3; 2; 1.15635;
MERTENS; 1; 1529274447; 7; 18; 400; 4; 2; 1.56267;
MERTENS; 1; 1529274449; 7; 18; 400; 5; 2; 2.09399;
MERTENS; 1; 1529274451; 7; 18; 500; 1; 2; 0.500057;
MERTENS; 1; 1529274451; 7; 18; 500; 2; 2; 1.06263;
MERTENS; 1; 1529274453; 7; 18; 500; 3; 2; 1.64079;
MERTENS; 1; 1529274454; 7; 18; 500; 4; 2; 2.06272;
MERTENS; 1; 1529274456; 7; 18; 500; 5; 2; 2.32838;
MERTENS; 1; 1529274459; 7; 18; 600; 1; 2; 0.546964;
MERTENS; 1; 1529274459; 7; 18; 600; 2; 2; 1.12515;
MERTENS; 1; 1529274460; 7; 18; 600; 3; 2; 1.68765;
MERTENS; 1; 1529274462; 7; 18; 600; 4; 2; 2.43776;
MERTENS; 1; 1529274464; 7; 18; 600; 5; 2; 3.04723;
MERTENS; 1; 1529274467; 7; 18; 700; 1; 2; 0.625065;
MERTENS; 1; 1529274468; 7; 18; 700; 2; 2; 1.6408;
MERTENS; 1; 1529274470; 7; 18; 700; 3; 2; 1.84398;
MERTENS; 1; 1529274472; 7; 18; 700; 4; 2; 2.62527;
MERTENS; 1; 1529274474; 7; 18; 700; 5; 2; 3.42224;
MERTENS; 1; 1529274478; 7; 18; 800; 1; 2; 0.890723;
MERTENS; 1; 1529274479; 7; 18; 800; 2; 2; 1.39077;
MERTENS; 1; 1529274480; 7; 18; 800; 3; 2; 2.2815;
MERTENS; 1; 1529274482; 7; 18; 800; 4; 2; 3.28164;
MERTENS; 1; 1529274486; 7; 18; 800; 5; 2; 4.09419;
MERTENS; 1; 1529274490; 7; 18; 900; 1; 2; 0.828243;
MERTENS; 1; 1529274491; 7; 18; 900; 2; 2; 1.95332;
MERTENS; 1; 1529274492; 7; 18; 900; 3; 2; 2.54718;
MERTENS; 1; 1529274495; 7; 18; 900; 4; 2; 3.46909;
MERTENS; 1; 1529274498; 7; 18; 900; 5; 2; 4.48486;
MERTENS; 1; 1529274503; 7; 18; 1000; 1; 2; 0.937601;
MERTENS; 1; 1529274504; 7; 18; 1000; 2; 2; 2.00025;
MERTENS; 1; 1529274506; 7; 18; 1000; 3; 2; 3.48472;
MERTENS; 1; 1529274509; 7; 18; 1000; 4; 2; 4.1411;
MERTENS; 1; 1529274514; 7; 18; 1000; 5; 2; 4.82862;
MITCHELL; 1; 1529274518; 21; 14; 100; 1; 8; 0.343814;
MITCHELL; 1; 1529274519; 21; 14; 100; 2; 8; 0.765738;
MITCHELL; 1; 1529274519; 21; 14; 100; 3; 8; 1.10947;
MITCHELL; 1; 1529274521; 21; 14; 100; 4; 9; 1.39077;
MITCHELL; 1; 1529274522; 21; 14; 100; 5; 9; 1.67206;
MITCHELL; 1; 1529274524; 21; 14; 200; 1; 9; 0.671947;
MITCHELL; 1; 1529274524; 21; 14; 200; 2; 8; 1.32827;
MITCHELL; 1; 1529274526; 21; 14; 200; 3; 9; 2.31275;
MITCHELL; 1; 1529274528; 21; 14; 200; 4; 8; 2.5784;
MITCHELL; 1; 1529274531; 21; 14; 200; 5; 9; 3.62539;
MITCHELL; 1; 1529274534; 21; 14; 300; 1; 8; 1.09383;
MITCHELL; 1; 1529274535; 21; 14; 300; 2; 8; 2.094;
MITCHELL; 1; 1529274537; 21; 14; 300; 3; 8; 3.00032;
MITCHELL; 1; 1529274540; 21; 14; 300; 4; 8; 4.32859;
MITCHELL; 1; 1529274545; 21; 14; 300; 5; 8; 5.64123;
MITCHELL; 1; 1529274550; 21; 14; 400; 1; 8; 1.31264;
MITCHELL; 1; 1529274552; 21; 14; 400; 2; 8; 2.89094;
MITCHELL; 1; 1529274555; 21; 14; 400; 3; 8; 4.20358;
MITCHELL; 1; 1529274559; 21; 14; 400; 4; 8; 5.64123;
MITCHELL; 1; 1529274565; 21; 14; 400; 5; 8; 7.15702;
MITCHELL; 1; 1529274572; 21; 14; 500; 1; 8; 1.54704;
MITCHELL; 1; 1529274573; 21; 14; 500; 2; 8; 3.40662;
MITCHELL; 1; 1529274577; 21; 14; 500; 3; 8; 5.26619;
MITCHELL; 1; 1529274582; 21; 14; 500; 4; 8; 6.93825;
MITCHELL; 1; 1529274589; 21; 14; 500; 5; 8; 8.53217;
MITCHELL; 1; 1529274597; 21; 14; 600; 1; 8; 2.12523;
MITCHELL; 1; 1529274600; 21; 14; 600; 2; 8; 4.26609;
MITCHELL; 1; 1529274604; 21; 14; 600; 3; 8; 6.12569;
MITCHELL; 1; 1529274610; 21; 14; 600; 4; 8; 8.32905;
MITCHELL; 1; 1529274618; 21; 14; 600; 5; 8; 10.1573;
MITCHELL; 1; 1529274628; 21; 14; 700; 1; 8; 2.32837;
MITCHELL; 1; 1529274631; 21; 14; 700; 2; 8; 5.06305;
MITCHELL; 1; 1529274636; 21; 14; 700; 3; 8; 7.87585;
MITCHELL; 1; 1529274644; 21; 14; 700; 4; 8; 9.5479;
MITCHELL; 1; 1529274653; 21; 14; 700; 5; 8; 13.0327;
MITCHELL; 1; 1529274666; 21; 14; 800; 1; 8; 2.64091;
MITCHELL; 1; 1529274669; 21; 14; 800; 2; 8; 5.42243;
MITCHELL; 1; 1529274674; 21; 14; 800; 3; 8; 8.75095;
MITCHELL; 1; 1529274683; 21; 14; 800; 4; 8; 11.345;
MITCHELL; 1; 1529274695; 21; 14; 800; 5; 8; 14.2828;
MITCHELL; 1; 1529274709; 21; 14; 900; 1; 8; 3.73481;
MITCHELL; 1; 1529274713; 21; 14; 900; 2; 8; 6.57884;
MITCHELL; 1; 1529274719; 21; 14; 900; 3; 8; 9.37601;
MITCHELL; 1; 1529274729; 21; 14; 900; 4; 8; 12.7827;
MITCHELL; 1; 1529274741; 21; 14; 900; 5; 8; 16.0486;
MITCHELL; 1; 1529274757; 21; 14; 1000; 1; 8; 3.35974;
MITCHELL; 1; 1529274761; 21; 14; 1000; 2; 8; 6.68822;
MITCHELL; 1; 1529274767; 21; 14; 1000; 3; 8; 10.173;
MITCHELL; 1; 1529274778; 21; 14; 1000; 4; 8; 13.689;
MITCHELL; 1; 1529274791; 21; 14; 1000; 5; 8; 17.5644;
MITCHELL; 1; 1529274809; 21; 35; 100; 1; 4; 0.265687;
MITCHELL; 1; 1529274809; 21; 35; 100; 2; 4; 0.500078;
MITCHELL; 1; 1529274810; 21; 35; 100; 3; 4; 0.703192;
MITCHELL; 1; 1529274810; 21; 35; 100; 4; 4; 0.937598;
MITCHELL; 1; 1529274811; 21; 35; 100; 5; 4; 1.29701;
MITCHELL; 1; 1529274813; 21; 35; 200; 1; 4; 0.484427;
MITCHELL; 1; 1529274813; 21; 35; 200; 2; 4; 1.04699;
MITCHELL; 1; 1529274814; 21; 35; 200; 3; 4; 1.64083;
MITCHELL; 1; 1529274816; 21; 35; 200; 4; 4; 2.2815;
MITCHELL; 1; 1529274818; 21; 35; 200; 5; 4; 3.0472;
MITCHELL; 1; 1529274821; 21; 35; 300; 1; 4; 1.04702;
MITCHELL; 1; 1529274822; 21; 35; 300; 2; 3; 1.67208;
MITCHELL; 1; 1529274824; 21; 35; 300; 3; 4; 2.32837;
MITCHELL; 1; 1529274826; 21; 35; 300; 4; 4; 3.35974;
MITCHELL; 1; 1529274830; 21; 35; 300; 5; 4; 4.06294;
MITCHELL; 1; 1529274834; 21; 35; 400; 1; 4; 1.06261;
MITCHELL; 1; 1529274835; 21; 35; 400; 2; 4; 2.31275;
MITCHELL; 1; 1529274837; 21; 35; 400; 3; 4; 3.6723;
MITCHELL; 1; 1529274841; 21; 35; 400; 4; 4; 4.45358;
MITCHELL; 1; 1529274845; 21; 35; 400; 5; 4; 5.39118;
MITCHELL; 1; 1529274851; 21; 35; 500; 1; 4; 1.48453;
MITCHELL; 1; 1529274852; 21; 35; 500; 2; 4; 2.70342;
MITCHELL; 1; 1529274855; 21; 35; 500; 3; 3; 4.29734;
MITCHELL; 1; 1529274859; 21; 35; 500; 4; 4; 5.81316;
MITCHELL; 1; 1529274865; 21; 35; 500; 5; 4; 6.68821;
MITCHELL; 1; 1529274872; 21; 35; 600; 1; 4; 1.79708;
MITCHELL; 1; 1529274873; 21; 35; 600; 2; 4; 3.59411;
MITCHELL; 1; 1529274877; 21; 35; 600; 3; 4; 4.87553;
MITCHELL; 1; 1529274882; 21; 35; 600; 4; 4; 6.68825;
MITCHELL; 1; 1529274889; 21; 35; 600; 5; 4; 8.32903;
MITCHELL; 1; 1529274897; 21; 35; 700; 1; 4; 2.20333;
MITCHELL; 1; 1529274899; 21; 35; 700; 2; 4; 3.73478;
MITCHELL; 1; 1529274903; 21; 35; 700; 3; 3; 6.09441;
MITCHELL; 1; 1529274909; 21; 35; 700; 4; 3; 7.59457;
MITCHELL; 1; 1529274917; 21; 35; 700; 5; 4; 9.15724;
MITCHELL; 1; 1529274926; 21; 35; 800; 1; 4; 2.20336;
MITCHELL; 1; 1529274928; 21; 35; 800; 2; 4; 4.59425;
MITCHELL; 1; 1529274933; 21; 35; 800; 3; 4; 6.43819;
MITCHELL; 1; 1529274939; 21; 35; 800; 4; 3; 9.92297;
MITCHELL; 1; 1529274949; 21; 35; 800; 5; 4; 11.345;
MITCHELL; 1; 1529274960; 21; 35; 900; 1; 4; 2.37526;
MITCHELL; 1; 1529274963; 21; 35; 900; 2; 4; 5.60997;
MITCHELL; 1; 1529274968; 21; 35; 900; 3; 3; 8.37593;
MITCHELL; 1; 1529274977; 21; 35; 900; 4; 4; 9.82922;
MITCHELL; 1; 1529274987; 21; 35; 900; 5; 3; 14.3765;
MITCHELL; 1; 1529275001; 21; 35; 1000; 1; 4; 2.65654;
MITCHELL; 1; 1529275004; 21; 35; 1000; 2; 4; 5.84438;
MITCHELL; 1; 1529275009; 21; 35; 1000; 3; 4; 8.25089;
MITCHELL; 1; 1529275018; 21; 35; 1000; 4; 4; 11.8294;
MITCHELL; 1; 1529275030; 21; 35; 1000; 5; 4; 14.3297;
MITCHELL; 1; 1529275044; 21; 26; 100; 1; 5; 0.250054;
MITCHELL; 1; 1529275044; 21; 26; 100; 2; 5; 0.515707;
MITCHELL; 1; 1529275045; 21; 26; 100; 3; 5; 0.828218;
MITCHELL; 1; 1529275046; 21; 26; 100; 4; 5; 1.10952;
MITCHELL; 1; 1529275047; 21; 26; 100; 5; 5; 1.29698;
MITCHELL; 1; 1529275048; 21; 26; 200; 1; 5; 0.57822;
MITCHELL; 1; 1529275049; 21; 26; 200; 2; 5; 1.07824;
MITCHELL; 1; 1529275050; 21; 26; 200; 3; 5; 1.6408;
MITCHELL; 1; 1529275051; 21; 26; 200; 4; 5; 2.31275;
MITCHELL; 1; 1529275054; 21; 26; 200; 5; 5; 3.01595;
MITCHELL; 1; 1529275057; 21; 26; 300; 1; 5; 0.750109;
MITCHELL; 1; 1529275057; 21; 26; 300; 2; 5; 1.65643;
